"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","downtown","airport","ddowntown"
"90","f","t","House","Entire home/apt",7,2,3,4,"Real Bed",285,5,3,7,"f","t","strict",0,0,13615
"91","f","t","Apartment","Private room",3,1,1,2,"Real Bed",55,2,2,13,"f","f","strict",0,0,13615
"92","f","t","House","Private room",1,1,1,1,"Real Bed",50,1,5,1,"f","f","strict",0,0,13615
"93","f","t","House","Private room",1,1,1,1,"Real Bed",59,1,5,4,"f","f","strict",0,0,13615
"94","t","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,2,10,"f","t","moderate",0,0,13615
"95","t","t","House","Private room",2,2,1,1,"Real Bed",85,1,1,74,"f","f","moderate",0,0,13615
"96","t","t","Apartment","Entire home/apt",6,1,2,2,"Real Bed",199,4,2,4,"t","f","strict",0,0,13615
"97","f","t","House","Private room",2,1,1,1,"Real Bed",95,1,4,62,"f","f","moderate",0,0,9079
"98","f","f","Condominium","Private room",2,1,1,1,"Real Bed",55,1,1,6,"t","f","flexible",0,0,9079
"99","f","t","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",0,0,9079
"100","f","f","Other","Private room",2,1,1,1,"Real Bed",58,1,1,37,"t","f","moderate",0,0,9079
"101","f","f","House","Private room",2,1,1,1,"Real Bed",60,1,1,0,"f","f","flexible",0,0,9079
"102","f","f","Apartment","Private room",2,1,1,1,"Real Bed",40,1,3,12,"t","f","strict",0,0,9079
"103","t","t","Other","Private room",2,1.5,1,1,"Real Bed",75,2,1,152,"f","f","moderate",0,0,9079
"104","t","t","House","Private room",3,1,1,2,"Real Bed",120,1,2,189,"t","f","strict",0,0,9079
"105","f","t","House","Private room",2,1,0,1,"Real Bed",67,1,2,1,"f","f","moderate",0,0,9079
"106","f","t","Apartment","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict",0,0,9079
"107","f","t","Apartment","Private room",2,1,1,1,"Pull-out Sofa",64,1,1,37,"f","f","moderate",0,0,9079
"108","t","t","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,171,"f","f","moderate",0,0,9079
"109","f","t","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,35,"t","f","flexible",0,0,9079
"110","t","f","Apartment","Private room",1,1,1,1,"Real Bed",65,1,3,130,"t","f","moderate",0,0,9079
"111","f","t","Condominium","Private room",2,1,1,1,"Real Bed",90,1,1,10,"t","f","flexible",0,0,9079
"112","f","t","House","Private room",3,1,1,2,"Real Bed",155,3,1,19,"t","f","moderate",0,0,9079
"113","t","t","House","Private room",3,1,1,2,"Real Bed",95,1,2,57,"f","f","moderate",0,0,9079
"114","t","t","Apartment","Private room",2,1,1,1,"Pull-out Sofa",60,1,1,171,"t","f","strict",0,0,9079
"115","f","f","Apartment","Private room",4,1,1,2,"Real Bed",92,2,2,10,"t","f","strict",0,0,9079
"116","t","t","Townhouse","Private room",2,1,1,1,"Real Bed",95,1,2,53,"f","f","strict",0,0,9079
"117","t","t","House","Private room",1,1,1,1,"Futon",90,1,2,61,"f","f","flexible",0,0,9079
"118","t","t","House","Private room",4,1,1,2,"Real Bed",120,2,2,87,"f","f","moderate",0,0,9079
"119","t","t","House","Private room",1,2,1,1,"Real Bed",50,1,2,100,"t","f","moderate",0,0,9079
"120","f","t","House","Private room",2,1,1,1,"Real Bed",105,1,2,36,"f","f","strict",0,0,9079
"121","t","t","Townhouse","Private room",2,1.5,1,1,"Real Bed",89,1,1,13,"f","f","strict",0,0,9079
"122","f","t","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",0,0,9079
"123","f","t","Condominium","Private room",2,2,1,1,"Real Bed",70,1,1,10,"f","f","flexible",0,0,9079
"124","f","t","Apartment","Private room",2,1,1,1,"Real Bed",99,1,2,2,"f","f","moderate",0,0,9079
"125","f","t","Apartment","Private room",2,1,1,1,"Real Bed",70,2,1,4,"f","f","flexible",0,0,9079
"126","f","t","Apartment","Private room",2,1,1,1,"Real Bed",90,1,1,3,"f","f","moderate",0,0,9079
"127","f","t","Apartment","Entire home/apt",5,1,3,4,"Real Bed",175,1,2,156,"t","f","moderate",0,0,9079
"128","f","t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",130,1,2,115,"t","f","moderate",0,0,9079
"129","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,1,2,115,"f","f","strict",0,0,9079
"130","f","t","House","Private room",2,1,1,1,"Real Bed",70,1,2,3,"f","f","moderate",0,0,9079
"131","f","t","Apartment","Entire home/apt",16,3,6,7,"Real Bed",0,9,1,0,"t","f","moderate",0,0,9079
"132","f","f","Condominium","Private room",2,1.5,1,1,"Real Bed",90,1,1,0,"t","f","flexible",0,0,9079
"133","t","t","Bed & Breakfast","Entire home/apt",4,1,2,2,"Real Bed",160,2,2,138,"f","f","strict",0,0,9079
"134","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,14,20,"f","f","strict",0,0,9079
"135","f","t","Apartment","Entire home/apt",6,1,2,4,"Real Bed",168,1,2,90,"t","f","moderate",0,0,9079
