"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"93","f","t","Roslindale","House","Private room",1,1,1,1,"Real Bed",59,1,5,4,"f","f","strict",7845,10972
"94","t","t","Roslindale","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,2,10,"f","t","moderate",7845,10972
"95","t","t","Roslindale","House","Private room",2,2,1,1,"Real Bed",85,1,1,74,"f","f","moderate",7845,10972
"96","t","t","Roslindale","Apartment","Entire home/apt",6,1,2,2,"Real Bed",199,4,2,4,"t","f","strict",7845,10972
"97","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",95,1,4,62,"f","f","moderate",5523,8754
"98","f","f","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",55,1,1,6,"t","f","flexible",5523,8754
"99","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",5523,8754
"100","f","f","Jamaica Plain","Other","Private room",2,1,1,1,"Real Bed",58,1,1,37,"t","f","moderate",5523,8754
"101","f","f","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",60,1,1,0,"f","f","flexible",5523,8754
"102","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",40,1,3,12,"t","f","strict",5523,8754
"103","t","t","Jamaica Plain","Other","Private room",2,1.5,1,1,"Real Bed",75,2,1,152,"f","f","moderate",5523,8754
"104","t","t","Jamaica Plain","House","Private room",3,1,1,2,"Real Bed",120,1,2,189,"t","f","strict",5523,8754
"105","f","t","Jamaica Plain","House","Private room",2,1,0,1,"Real Bed",67,1,2,1,"f","f","moderate",5523,8754
"106","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict",5523,8754
"107","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Pull-out Sofa",64,1,1,37,"f","f","moderate",5523,8754
"108","t","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,171,"f","f","moderate",5523,8754
"109","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,35,"t","f","flexible",5523,8754
"110","t","f","Jamaica Plain","Apartment","Private room",1,1,1,1,"Real Bed",65,1,3,130,"t","f","moderate",5523,8754
"111","f","t","Jamaica Plain","Condominium","Private room",2,1,1,1,"Real Bed",90,1,1,10,"t","f","flexible",5523,8754
"112","f","t","Jamaica Plain","House","Private room",3,1,1,2,"Real Bed",155,3,1,19,"t","f","moderate",5523,8754
"113","t","t","Jamaica Plain","House","Private room",3,1,1,2,"Real Bed",95,1,2,57,"f","f","moderate",5523,8754
"114","t","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Pull-out Sofa",60,1,1,171,"t","f","strict",5523,8754
"115","f","f","Jamaica Plain","Apartment","Private room",4,1,1,2,"Real Bed",92,2,2,10,"t","f","strict",5523,8754
"116","t","t","Jamaica Plain","Townhouse","Private room",2,1,1,1,"Real Bed",95,1,2,53,"f","f","strict",5523,8754
"117","t","t","Jamaica Plain","House","Private room",1,1,1,1,"Futon",90,1,2,61,"f","f","flexible",5523,8754
"118","t","t","Jamaica Plain","House","Private room",4,1,1,2,"Real Bed",120,2,2,87,"f","f","moderate",5523,8754
"119","t","t","Jamaica Plain","House","Private room",1,2,1,1,"Real Bed",50,1,2,100,"t","f","moderate",5523,8754
"120","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",105,1,2,36,"f","f","strict",5523,8754
"121","t","t","Jamaica Plain","Townhouse","Private room",2,1.5,1,1,"Real Bed",89,1,1,13,"f","f","strict",5523,8754
"122","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",5523,8754
"123","f","t","Jamaica Plain","Condominium","Private room",2,2,1,1,"Real Bed",70,1,1,10,"f","f","flexible",5523,8754
"124","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",99,1,2,2,"f","f","moderate",5523,8754
"125","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",70,2,1,4,"f","f","flexible",5523,8754
"126","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",90,1,1,3,"f","f","moderate",5523,8754
