"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"175","f","t","02130","Apartment","Entire home/apt",4,1,2,3,"Real Bed",140,1,2,9,"f","f","moderate"
"176","f","f","02130","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,2,1,2,"f","f","strict"
"177","f","f","02130","House","Entire home/apt",6,2,3,4,"Real Bed",295,1,3,1,"f","f","flexible"
"178","f","f","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,1,1,0,"f","f","flexible"
"179","t","t","02130","Apartment","Entire home/apt",4,1,3,5,"Real Bed",289,4,2,10,"f","t","strict"
"180","f","t","02130","Condominium","Entire home/apt",4,1,2,2,"Real Bed",145,4,2,5,"f","f","strict"
"181","f","f","02130","Condominium","Entire home/apt",7,1,3,5,"Real Bed",267,6,2,18,"t","t","flexible"
"182","t","t","02130","House","Entire home/apt",9,3.5,4,5,"Real Bed",300,6,3,1,"f","f","strict"
"183","f","t","02130","Apartment","Entire home/apt",6,1,3,3,"Real Bed",500,5,3,9,"f","f","strict"
"184","f","t","02130","Apartment","Shared room",2,1,1,1,"Pull-out Sofa",75,1,2,10,"f","f","flexible"
"185","f","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",220,1,30,1,"f","f","strict"
"186","t","t","02130","Apartment","Private room",1,1,1,1,"Real Bed",60,1,30,5,"f","f","moderate"
"187","f","f","02130","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",55,1,300,3,"f","f","flexible"
"188","f","t","02130","Apartment","Entire home/apt",6,2,3,3,"Real Bed",250,1,4,6,"f","f","strict"
"189","f","t","02130","Condominium","Entire home/apt",6,1,2,2,"Real Bed",225,2,90,15,"f","f","strict"
"190","f","t","02130","House","Entire home/apt",5,3.5,4,4,"Real Bed",325,4,3,11,"f","t","moderate"
"191","f","t","02130","House","Private room",2,1,1,1,"Real Bed",85,1,1,5,"f","f","flexible"
"192","f","f","02130","Apartment","Entire home/apt",5,2,2,3,"Real Bed",225,1,30,2,"f","f","moderate"
"194","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,2,"f","f","flexible"
"195","t","t","02130","House","Private room",2,1,1,1,"Real Bed",71,1,3,232,"f","f","strict"
"196","t","t","02130","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,20,"f","f","moderate"
"197","f","t","02130","Apartment","Entire home/apt",4,2,2,3,"Real Bed",350,1,1,16,"t","f","strict"
"198","f","t","02119","House","Private room",2,1,1,1,"Real Bed",120,1,2,94,"f","f","flexible"
"199","f","f","02130","House","Private room",1,1,1,1,"Real Bed",39,1,7,0,"f","f","strict"
"200","t","t","02130","House","Entire home/apt",6,2,2,2,"Real Bed",195,3,4,49,"t","t","strict"
"201","f","f","02130","Condominium","Private room",2,1,1,1,"Real Bed",65,1,2,1,"f","f","flexible"
