"","host_is_superhost","host_identity_verified","neighbourhood_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"966","f","t","North End","Apartment","Private room",2,1,1,1,"Real Bed","$130.00",1,3,1,"f","f","flexible"
"967","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$99.00",4,1,82,"t","f","strict"
"968","f","f","North End","Condominium","Entire home/apt",2,1,0,1,"Real Bed","$140.00",1,1,16,"t","f","moderate"
"969","f","f","North End","Condominium","Entire home/apt",4,1,2,2,"Real Bed","$199.00",1,3,0,"t","f","moderate"
"970","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$109.00",4,1,106,"t","t","strict"
"971","t","t","North End","Apartment","Entire home/apt",4,2,2,2,"Real Bed","$305.00",4,1,74,"f","t","strict"
"972","f","f","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$109.00",1,3,0,"t","f","strict"
"973","f","t","North End","Apartment","Private room",1,2,1,1,"Real Bed","$50.00",1,2,0,"f","f","flexible"
"974","f","f","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$109.00",1,3,3,"t","f","strict"
"975","t","t","North End","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$159.00",2,1,159,"t","t","moderate"
"976","t","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$195.00",1,2,26,"f","t","strict"
"977","t","t","North End","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$300.00",1,2,28,"f","f","flexible"
"978","f","f","North End","Apartment","Entire home/apt",5,1,2,2,"Real Bed","$99.00",1,3,3,"t","f","strict"
"979","f","f","North End","Apartment","Entire home/apt",8,3,3,4,"Real Bed","$299.00",6,2,40,"t","t","strict"
"980","f","t","North End","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$147.00",1,1,28,"t","f","strict"
"981","f","t","North End","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$147.00",3,1,138,"t","f","strict"
"982","f","f","North End","Apartment","Entire home/apt",6,1,2,1,"Real Bed","$45.00",1,1,0,"f","f","flexible"
"983","f","f","North End","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$129.00",4,2,99,"t","t","strict"
"984","f","f","North End","Apartment","Entire home/apt",3,1,2,2,"Real Bed","$99.00",1,3,0,"t","f","strict"
"985","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$89.00",1,3,5,"t","f","strict"
"986","t","t","North End","Apartment","Entire home/apt",6,1,3,3,"Real Bed","$275.00",4,2,47,"t","t","strict"
"987","t","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$175.00",2,2,129,"t","f","strict"
"988","f","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$250.00",2,2,10,"f","f","strict"
"989","f","t","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$110.00",1,2,18,"f","f","flexible"
"990","f","t","North End","Apartment","Private room",1,1,1,1,"Couch","$100.00",1,1,0,"f","f","flexible"
"991","t","t","North End","Apartment","Private room",2,1,1,1,"Real Bed","$185.00",2,2,46,"f","f","strict"
"992","f","t","North End","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$129.00",1,1,3,"f","f","flexible"
"993","f","t","North End","House","Private room",2,1,1,2,"Real Bed","$80.00",1,1,19,"f","f","moderate"
"994","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed","$169.00",1,3,1,"t","f","strict"
"995","f","f","North End","Apartment","Entire home/apt",6,1.5,2,2,"Real Bed","$119.00",1,3,45,"t","f","strict"
"996","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$89.00",1,3,4,"t","f","strict"
"997","f","f","North End","Apartment","Entire home/apt",7,1,3,3,"Real Bed","$139.00",1,2,47,"t","t","strict"
"998","f","f","North End","Apartment","Entire home/apt",6,1,3,3,"Real Bed","$149.00",1,3,55,"t","f","strict"
"999","f","f","North End","Apartment","Entire home/apt",8,2,3,3,"Real Bed","$159.00",1,2,37,"t","t","strict"
"1000","f","f","North End","Apartment","Entire home/apt",5,1,2,2,"Real Bed","$235.00",1,4,1,"t","f","flexible"
"1001","f","f","North End","Apartment","Entire home/apt",7,1,3,3,"Real Bed","$139.00",1,3,42,"t","t","strict"
"1002","f","t","North End","Apartment","Private room",2,1,1,1,"Real Bed","$110.00",1,1,24,"f","f","flexible"
"1003","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed","$169.00",1,3,3,"t","f","strict"
"1004","f","f","North End","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$250.00",1,2,65,"t","f","flexible"
"1005","t","t","North End","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$130.00",2,2,95,"t","t","strict"
"1006","t","t","North End","Apartment","Entire home/apt",2,1,1,2,"Real Bed","$225.00",4,3,6,"f","f","strict"
"1007","f","t","North End","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$235.00",2,4,1,"f","f","strict"
"1008","f","f","North End","Apartment","Entire home/apt",7,2,3,3,"Real Bed","$169.00",1,3,6,"t","f","strict"
"1009","f","t","North End","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$175.00",1,2,3,"f","f","moderate"
"1010","f","f","North End","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$179.00",1,2,15,"f","f","strict"
"1011","f","f","Roxbury","House","Entire home/apt",3,1,0,1,"Real Bed","$56.00",1,1,110,"f","f","moderate"
"1012","t","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$115.00",2,2,55,"t","f","strict"
"1013","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$100.00",1,1,6,"f","f","flexible"
"1014","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$65.00",1,2,48,"f","f","moderate"
"1015","f","t","Roxbury","Apartment","Entire home/apt",5,1,1,3,"Pull-out Sofa","$250.00",1,2,7,"t","f","moderate"
"1016","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$130.00",1,1,2,"f","f","flexible"
"1017","f","f","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed","$78.00",1,1,5,"t","f","strict"
"1018","f","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed","$95.00",1,2,126,"t","f","strict"
"1019","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed","$65.00",1,1,21,"t","f","moderate"
"1020","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$100.00",2,3,94,"f","f","moderate"
"1021","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$52.00",1,1,3,"f","f","flexible"
"1022","f","f","Roxbury","Townhouse","Private room",2,1,1,1,"Real Bed","$83.00",1,1,155,"t","f","flexible"
"1023","t","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$140.00",1,2,57,"t","t","strict"
"1024","f","f","Roxbury","Apartment","Entire home/apt",5,1,3,4,"Real Bed","$270.00",3,1,0,"t","f","flexible"
"1025","f","t","Roxbury","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$94.00",1,2,8,"f","f","strict"
"1026","f","t","Roxbury","Apartment","Entire home/apt",2,1,1,3,"Real Bed","$275.00",2,2,61,"f","f","moderate"
"1027","f","f","Roxbury","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$265.00",1,2,66,"f","f","strict"
"1028","t","t","Roxbury","Condominium","Entire home/apt",4,2,2,2,"Real Bed","$150.00",4,2,41,"f","t","moderate"
"1029","f","t","Roxbury","Apartment","Private room",2,1,0,1,"Real Bed","$56.00",1,1,0,"t","f","flexible"
"1030","t","f","Roxbury","Apartment","Entire home/apt",4,1,0,1,"Pull-out Sofa","$129.00",2,2,74,"f","f","moderate"
"1031","t","t","Roxbury","Condominium","Private room",5,1,2,2,"Real Bed","$110.00",4,1,36,"t","f","flexible"
"1032","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$44.00",1,1,34,"f","f","flexible"
"1033","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$169.00",2,3,29,"t","t","strict"
"1034","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$65.00",1,2,52,"f","f","moderate"
"1035","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$52.00",1,1,16,"t","f","moderate"
"1036","f","t","Roxbury","Condominium","Private room",2,1.5,1,1,"Real Bed","$50.00",1,2,7,"f","f","strict"
"1037","f","t","Roxbury","Bed & Breakfast","Private room",2,1,1,2,"Real Bed","$62.00",1,1,216,"t","f","moderate"
"1038","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$70.00",1,1,25,"f","f","flexible"
"1039","f","t","Roxbury","House","Private room",1,1,1,1,"Real Bed","$50.00",1,3,15,"f","f","moderate"
"1040","f","t","Roxbury","Apartment","Entire home/apt",12,3.5,3,5,"Real Bed","$400.00",1,1,2,"f","f","flexible"
"1041","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$75.00",1,1,2,"t","f","moderate"
"1042","f","f","Roxbury","House","Private room",2,2,1,2,"Real Bed","$75.00",2,1,20,"t","f","strict"
"1043","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$125.00",2,2,4,"f","f","strict"
"1044","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$85.00",1,5,26,"f","f","strict"
"1045","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$44.00",1,1,5,"f","f","flexible"
"1046","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$99.00",1,14,1,"f","f","strict"
"1047","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$45.00",1,1,15,"f","f","moderate"
"1048","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$32.00",1,14,2,"f","f","strict"
"1049","f","t","Roxbury","Apartment","Private room",2,1.5,1,1,"Real Bed","$180.00",1,3,0,"f","f","flexible"
"1050","f","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$112.00",1,2,0,"t","f","flexible"
"1051","t","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$125.00",2,2,119,"t","f","strict"
"1052","t","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$130.00",1,2,258,"f","t","moderate"
"1053","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$99.00",2,1,27,"f","f","strict"
"1054","f","t","Roxbury","Apartment","Entire home/apt",8,2,4,4,"Real Bed","$345.00",2,3,9,"t","t","strict"
"1055","t","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$159.00",2,2,145,"f","f","moderate"
"1056","f","t","Roxbury","Townhouse","Entire home/apt",8,2.5,4,4,"Real Bed","$200.00",5,2,13,"f","f","moderate"
"1057","f","t","Roxbury","Apartment","Entire home/apt",4,1,0,2,"Real Bed","$159.00",2,3,49,"t","t","strict"
"1058","f","t","Roxbury","Condominium","Entire home/apt",6,2,3,3,"Real Bed","$350.00",3,2,6,"f","f","moderate"
"1059","f","t","Roxbury","Apartment","Entire home/apt",6,2,3,5,"Real Bed","$375.00",1,3,3,"f","f","strict"
"1060","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$230.00",1,2,0,"f","f","flexible"
"1061","f","t","Roxbury","Apartment","Entire home/apt",6,1.5,3,3,"Real Bed","$269.00",2,3,32,"t","t","strict"
"1062","f","f","Roxbury","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$139.00",1,5,2,"f","f","moderate"
"1063","f","f","Roxbury","Condominium","Shared room",2,1,1,1,"Real Bed","$125.00",1,1,6,"f","f","moderate"
"1064","f","t","Roxbury","House","Shared room",1,1,1,1,"Couch","$29.00",1,1,52,"f","f","strict"
"1065","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed","$35.00",1,14,0,"f","f","strict"
"1066","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$39.00",1,28,1,"f","f","strict"
"1067","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$33.00",1,14,7,"f","f","strict"
"1068","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$29.00",1,14,6,"f","f","strict"
"1069","f","t","Roxbury","Condominium","Private room",1,1.5,1,1,"Real Bed","$75.00",1,30,1,"f","f","strict"
"1070","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed","$35.00",1,30,12,"f","f","flexible"
"1071","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed","$35.00",1,30,7,"f","f","flexible"
"1072","f","f","Roxbury","Apartment","Entire home/apt",1,1,1,1,"Real Bed","$125.00",1,45,3,"t","f","moderate"
"1073","t","t","Roxbury","Apartment","Entire home/apt",5,1,2,2,"Real Bed","$121.00",1,2,0,"f","f","strict"
"1074","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$70.00",1,3,84,"f","f","strict"
"1075","f","t","Roxbury","Loft","Shared room",2,1,1,1,"Real Bed","$100.00",1,1,12,"f","f","moderate"
"1076","f","t","Roxbury","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$225.00",2,3,167,"t","f","strict"
"1077","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$79.00",1,2,3,"f","f","moderate"
"1078","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$150.00",1,1,2,"f","f","moderate"
"1079","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$78.00",1,3,119,"f","f","strict"
"1080","f","f","Roxbury","Apartment","Entire home/apt",3,1,1,3,"Real Bed","$95.00",2,2,10,"f","f","strict"
"1081","f","t","Roxbury","Apartment","Private room",2,2,1,1,"Real Bed","$80.00",1,1,31,"f","f","moderate"
"1082","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$167.00",1,2,45,"f","f","strict"
"1083","f","t","Roxbury","Loft","Entire home/apt",4,1,1,3,"Real Bed","$208.00",1,2,4,"f","t","flexible"
"1084","f","t","Roxbury","Condominium","Private room",1,1.5,1,1,"Real Bed","$48.00",1,2,2,"f","f","strict"
"1085","t","t","Roxbury","House","Private room",1,1,1,1,"Real Bed","$39.00",1,14,2,"f","f","strict"
"1086","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$95.00",2,1,156,"f","f","moderate"
"1087","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$68.00",1,1,3,"t","f","flexible"
"1088","f","f","Roxbury","Apartment","Private room",1,3,1,1,"Real Bed","$40.00",1,14,3,"f","f","strict"
"1089","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$75.00",1,3,29,"f","f","strict"
"1090","f","f","Roxbury","House","Private room",1,2,1,1,"Futon","$60.00",1,7,5,"f","f","strict"
"1091","f","f","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$69.00",1,1,7,"t","f","strict"
"1092","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$40.00",1,14,4,"f","f","strict"
"1093","t","t","Roxbury","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$195.00",1,1,55,"t","t","flexible"
"1094","f","t","Roxbury","Condominium","Entire home/apt",6,1,3,3,"Real Bed","$149.00",1,1,15,"t","f","strict"
"1095","t","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$70.00",1,6,11,"f","f","flexible"
"1096","f","f","Roxbury","Apartment","Entire home/apt",4,NA,1,1,"Real Bed","$167.00",1,2,65,"f","f","strict"
"1097","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed","$55.00",1,1,18,"t","f","flexible"
"1098","f","t","Roxbury","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$72.00",2,2,2,"f","f","strict"
"1099","f","f","Roxbury","House","Shared room",4,1,1,3,"Real Bed","$39.00",1,1,17,"t","f","strict"
"1100","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$39.00",1,14,1,"f","f","strict"
"1101","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$69.00",1,1,4,"t","f","strict"
"1102","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed","$37.00",1,7,1,"f","f","strict"
"1103","t","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$300.00",1,2,25,"t","f","strict"
"1104","f","f","Roxbury","Townhouse","Entire home/apt",2,1,10,1,"Real Bed","$125.00",1,1,4,"t","f","moderate"
"1105","f","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$125.00",1,2,30,"f","t","moderate"
"1106","f","t","Roxbury","Other","Private room",2,1,1,1,"Real Bed","$79.00",1,1,4,"f","f","moderate"
"1107","f","f","Roxbury","Apartment","Private room",1,3,1,1,"Real Bed","$40.00",1,14,0,"f","f","strict"
"1108","f","t","Roxbury","House","Entire home/apt",4,1.5,1,1,"Real Bed","$140.00",2,3,99,"f","f","flexible"
"1109","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$50.00",1,2,0,"t","f","flexible"
"1110","f","f","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed","$69.00",1,1,3,"t","f","strict"
"1111","f","f","Roxbury","Apartment","Entire home/apt",2,1,2,2,"Real Bed","$179.00",3,2,0,"f","f","flexible"
"1112","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$167.00",1,2,90,"f","f","strict"
"1113","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$100.00",1,2,1,"f","f","flexible"
"1114","f","f","Roxbury","Apartment","Entire home/apt",3,1,0,3,"Real Bed","$129.00",1,3,0,"f","f","flexible"
"1115","f","f","Roxbury","House","Private room",2,2,1,1,"Real Bed","$75.00",2,1,29,"t","f","strict"
"1116","f","t","Roxbury","Apartment","Entire home/apt",6,1,2,5,"Real Bed","$120.00",4,3,21,"f","f","moderate"
"1117","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$65.00",1,1,2,"f","f","flexible"
"1118","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed","$150.00",1,1,9,"f","f","moderate"
"1119","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$79.00",1,3,13,"f","f","strict"
"1120","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$75.00",1,2,1,"f","f","moderate"
"1121","f","f","Roxbury","Condominium","Entire home/apt",15,2.5,4,9,"Real Bed","$150.00",1,1,3,"f","t","strict"
"1122","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,5,"Real Bed","$450.00",5,6,15,"f","f","strict"
"1123","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,3,"Real Bed","$75.00",4,1,35,"t","f","moderate"
"1124","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed","$60.00",1,1,1,"f","f","strict"
"1125","f","t","Roxbury","House","Entire home/apt",4,1,1,2,"Real Bed","$125.00",1,2,0,"t","f","flexible"
"1126","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$39.00",1,14,2,"f","f","strict"
"1127","f","t","Roxbury","Apartment","Entire home/apt",5,1,2,2,"Real Bed","$164.00",1,1,6,"f","f","flexible"
"1128","t","f","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$139.00",2,2,40,"f","f","moderate"
"1129","t","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed","$72.00",1,1,63,"f","f","flexible"
"1130","t","t","Roxbury","House","Private room",1,1,1,1,"Real Bed","$50.00",1,2,17,"f","f","strict"
"1131","f","f","Roxbury","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$150.00",1,2,9,"f","f","flexible"
"1132","f","t","Roxbury","Condominium","Private room",2,1,0,1,"Real Bed","$47.00",1,1,9,"f","f","moderate"
"1133","f","f","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$400.00",1,2,2,"f","f","flexible"
"1134","f","t","Roxbury","Apartment","Private room",2,1.5,1,1,"Real Bed","$60.00",1,1,9,"t","f","flexible"
"1135","f","t","Roxbury","House","Entire home/apt",8,3.5,3,4,"Real Bed","$350.00",1,2,5,"f","f","flexible"
"1136","f","f","Roxbury","Apartment","Entire home/apt",6,2,3,3,"Real Bed","$300.00",1,2,66,"f","f","strict"
"1137","f","f","Roxbury","House","Private room",1,2,1,1,"Real Bed","$65.00",1,7,2,"f","f","moderate"
"1138","f","t","Roxbury","House","Entire home/apt",6,1,3,3,"Real Bed","$180.00",1,2,7,"f","f","moderate"
"1139","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$40.00",1,14,4,"f","f","strict"
"1140","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$73.00",1,1,43,"t","f","moderate"
"1141","f","t","Roxbury","Condominium","Private room",2,1,1,1,"Real Bed","$95.00",1,1,38,"f","f","moderate"
"1142","f","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$65.00",1,1,11,"f","f","strict"
"1143","f","t","Roxbury","House","Shared room",1,1.5,1,1,"Real Bed","$57.00",1,1,3,"f","f","strict"
"1144","f","f","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$250.00",1,1,38,"t","t","flexible"
"1145","f","t","Roxbury","Apartment","Entire home/apt",5,1,1,2,"Real Bed","$195.00",1,3,13,"f","f","strict"
"1146","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$165.00",1,1,23,"t","f","flexible"
"1147","f","t","Roxbury","Guesthouse","Private room",2,1,1,1,"Real Bed","$149.00",1,3,16,"t","f","strict"
"1148","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$92.00",1,2,100,"f","f","moderate"
"1149","f","f","Roxbury","House","Private room",1,1,0,2,"Real Bed","$75.00",1,3,0,"f","f","flexible"
"1150","f","t","Roxbury","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$118.00",1,1,13,"t","f","strict"
"1151","f","t","Roxbury","Apartment","Private room",2,1,1,2,"Real Bed","$85.00",1,3,20,"f","f","strict"
"1152","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$46.00",1,1,4,"f","f","flexible"
"1153","f","t","Roxbury","House","Entire home/apt",4,1,2,2,"Real Bed","$150.00",4,2,106,"t","f","moderate"
"1154","f","f","Roxbury","Apartment","Entire home/apt",14,3,4,9,"Real Bed","$199.00",1,1,1,"f","f","strict"
"1155","f","f","Roxbury","House","Private room",1,1,1,1,"Real Bed","$40.00",1,5,0,"t","f","strict"
"1156","f","t","Roxbury","House","Private room",2,1.5,1,1,"Real Bed","$69.00",1,1,16,"f","f","strict"
"1157","f","t","Roxbury","House","Private room",1,1,1,1,"Pull-out Sofa","$78.00",1,3,0,"f","f","flexible"
"1158","f","t","Roxbury","Apartment","Entire home/apt",6,2,3,3,"Real Bed","$129.00",1,2,24,"t","t","strict"
"1159","f","f","Roxbury","House","Private room",2,2,1,2,"Real Bed","$75.00",2,1,21,"t","f","strict"
"1160","f","t","Roxbury","Bed & Breakfast","Private room",4,1,1,1,"Real Bed","$62.00",1,1,188,"t","f","moderate"
"1161","f","t","Roxbury","House","Private room",2,1,1,1,"Real Bed","$60.00",1,3,116,"t","f","moderate"
"1162","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$39.00",1,14,2,"f","f","strict"
"1163","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$135.00",1,3,6,"f","f","moderate"
"1164","f","t","Roxbury","House","Private room",1,1.5,1,1,"Real Bed","$49.00",1,10,7,"f","f","moderate"
"1165","f","f","Roxbury","Apartment","Shared room",2,1,1,1,"Real Bed","$150.00",1,1,0,"f","f","flexible"
"1166","f","t","Roxbury","Apartment","Entire home/apt",7,1,1,5,"Real Bed","$100.00",1,1,27,"f","t","strict"
"1167","f","t","Roxbury","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$169.00",2,3,57,"t","t","strict"
"1168","f","t","Roxbury","House","Entire home/apt",12,2,3,8,"Real Bed","$286.00",6,4,7,"f","f","strict"
"1169","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$39.00",1,14,1,"f","f","strict"
"1170","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$40.00",1,14,6,"f","f","strict"
"1171","f","t","Roxbury","Condominium","Entire home/apt",6,1,3,3,"Real Bed","$149.00",1,1,8,"t","f","strict"
"1172","t","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$134.00",1,4,32,"f","f","flexible"
"1173","f","t","Roxbury","Apartment","Entire home/apt",8,2,3,4,"Real Bed","$450.00",5,6,5,"f","f","strict"
"1174","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$79.00",1,2,10,"t","f","strict"
"1175","f","f","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$50.00",1,1,0,"f","f","flexible"
"1176","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$89.00",1,2,15,"t","f","strict"
"1177","t","t","Roxbury","Apartment","Private room",1,1.5,1,1,"Real Bed","$41.00",1,14,1,"f","f","strict"
"1178","f","t","Roxbury","House","Entire home/apt",10,2,4,6,"Real Bed","$150.00",2,2,119,"t","f","strict"
"1179","f","f","Roxbury","Apartment","Private room",2,1,2,2,"Real Bed","$59.00",1,1,2,"t","f","strict"
"1180","f","t","Roxbury","Guesthouse","Private room",2,1,1,1,"Real Bed","$145.00",1,3,47,"t","f","strict"
"1181","f","t","Roxbury","Apartment","Entire home/apt",10,1.5,3,4,"Real Bed","$156.00",1,2,50,"t","t","strict"
"1182","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$75.00",1,1,0,"f","f","flexible"
"1183","f","f","Roxbury","House","Private room",2,1,1,2,"Real Bed","$65.00",1,1,1,"t","f","flexible"
"1184","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$159.00",2,2,12,"t","f","strict"
"1185","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$63.00",1,2,119,"f","f","moderate"
"1186","f","f","Roxbury","Apartment","Entire home/apt",3,1,1,2,"Airbed","$140.00",2,1,0,"f","f","strict"
"1187","f","t","Roxbury","Apartment","Entire home/apt",6,1,3,3,"Real Bed","$99.00",3,2,10,"t","t","strict"
"1188","t","t","Roxbury","Apartment","Private room",4,1.5,2,3,"Real Bed","$145.00",2,2,47,"f","f","flexible"
"1189","f","f","Roxbury","Condominium","Entire home/apt",16,4,7,13,"Real Bed","$300.00",1,1,0,"f","f","strict"
"1190","f","t","Roxbury","Apartment","Private room",3,1,1,3,"Real Bed","$74.00",1,2,12,"f","f","moderate"
"1191","f","f","Roxbury","House","Private room",1,2,1,1,"Real Bed","$75.00",1,1,13,"t","f","strict"
"1192","f","t","Roxbury","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$148.00",1,2,0,"t","f","flexible"
"1193","f","t","Roxbury","Apartment","Private room",2,1,1,1,"Real Bed","$45.00",1,3,11,"f","f","moderate"
"1194","f","t","Roxbury","House","Entire home/apt",6,2,2,3,"Real Bed","$250.00",1,7,0,"f","f","flexible"
"1195","f","t","Roxbury","Townhouse","Entire home/apt",7,1.5,3,4,"Real Bed","$130.00",1,1,9,"f","f","flexible"
"1196","t","t","Roxbury","Apartment","Private room",1,1,1,1,"Real Bed","$33.00",1,14,1,"f","f","strict"
"1197","f","t","Roxbury","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$105.00",1,6,3,"f","f","strict"
