"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"92","f","t","House","Private room",1,1,1,1,"Real Bed",50,1,5,1,"f","f","strict",13615,18195
"93","f","t","House","Private room",1,1,1,1,"Real Bed",59,1,5,4,"f","f","strict",13615,18195
"94","t","t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,2,2,10,"f","t","moderate",13615,18195
"95","t","t","House","Private room",2,2,1,1,"Real Bed",85,1,1,74,"f","f","moderate",13615,18195
"96","t","t","Apartment","Entire home/apt",6,1,2,2,"Real Bed",199,4,2,4,"t","f","strict",13615,18195
"97","f","t","House","Private room",2,1,1,1,"Real Bed",95,1,4,62,"f","f","moderate",9079,13573
"98","f","f","Condominium","Private room",2,1,1,1,"Real Bed",55,1,1,6,"t","f","flexible",9079,13573
"99","f","t","House","Private room",2,1,1,1,"Real Bed",95,2,1,22,"t","f","moderate",9079,13573
"100","f","f","Other","Private room",2,1,1,1,"Real Bed",58,1,1,37,"t","f","moderate",9079,13573
"101","f","f","House","Private room",2,1,1,1,"Real Bed",60,1,1,0,"f","f","flexible",9079,13573
"102","f","f","Apartment","Private room",2,1,1,1,"Real Bed",40,1,3,12,"t","f","strict",9079,13573
"103","t","t","Other","Private room",2,1.5,1,1,"Real Bed",75,2,1,152,"f","f","moderate",9079,13573
"104","t","t","House","Private room",3,1,1,2,"Real Bed",120,1,2,189,"t","f","strict",9079,13573
"105","f","t","House","Private room",2,1,0,1,"Real Bed",67,1,2,1,"f","f","moderate",9079,13573
"106","f","t","Apartment","Private room",2,1,1,1,"Real Bed",51,1,1,0,"t","f","strict",9079,13573
"107","f","t","Apartment","Private room",2,1,1,1,"Pull-out Sofa",64,1,1,37,"f","f","moderate",9079,13573
"108","t","t","Apartment","Private room",2,1,1,1,"Real Bed",60,1,1,171,"f","f","moderate",9079,13573
"109","f","t","Apartment","Private room",2,1,1,1,"Real Bed",110,1,1,35,"t","f","flexible",9079,13573
"110","t","f","Apartment","Private room",1,1,1,1,"Real Bed",65,1,3,130,"t","f","moderate",9079,13573
"111","f","t","Condominium","Private room",2,1,1,1,"Real Bed",90,1,1,10,"t","f","flexible",9079,13573
"112","f","t","House","Private room",3,1,1,2,"Real Bed",155,3,1,19,"t","f","moderate",9079,13573
"113","t","t","House","Private room",3,1,1,2,"Real Bed",95,1,2,57,"f","f","moderate",9079,13573
"114","t","t","Apartment","Private room",2,1,1,1,"Pull-out Sofa",60,1,1,171,"t","f","strict",9079,13573
